model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty_penalty_lambda_0_01,12345,1,1000,340.71005419581206,412,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,2,1001,25.287707531803676,38,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,3,1002,27.128827612111536,41,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,4,1003,39.02318014323391,49,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,5,1004,499.47232177899036,600,0,0,0,1,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,6,1005,421.7411898023401,519,1,0,1,0,stay_best,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,7,1006,19.54608913301007,32,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,8,1007,500.879534567159,600,0,0,0,1,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,9,1008,21.798919247268042,43,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,10,1009,444.16065349260134,547,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,11,1010,38.906613664753706,56,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,12,1011,498.539915497421,600,0,0,0,1,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,13,1012,28.18371252188628,44,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,14,1013,40.13141714901773,48,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,15,1014,34.87905179459334,60,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,16,1015,21.574947317355385,37,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,17,1016,28.12499021781745,38,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,18,1017,56.41875986880374,69,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,19,1018,37.73275822169074,48,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,20,1019,31.2193212784243,43,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,21,1020,41.22720383282646,50,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,22,1021,36.98432604422049,46,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,23,1022,503.68949835815135,600,0,0,0,1,stay_best,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,24,1023,500.6612291729531,600,0,0,0,1,stay_best,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,25,1024,26.41638787870812,43,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,26,1025,328.37557151599407,418,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,27,1026,17.664964979258855,29,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,28,1027,17.93738259003098,35,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,29,1028,25.682569525168493,38,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,30,1029,485.31955789159474,597,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,31,1030,30.846137566637584,45,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,32,1031,501.1623643630082,600,0,0,0,1,stay_best,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,33,1032,31.759621649222066,49,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,34,1033,501.60956654968317,600,0,0,0,1,stay_best,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,35,1034,25.002034188242416,36,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,36,1035,45.89636681850913,57,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,37,1036,16.97033759867284,33,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,38,1037,27.00747901725076,41,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,39,1038,22.125977977134276,34,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,40,1039,28.73039592172678,44,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,41,1040,41.725058579544836,50,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,42,1041,116.45511539204061,161,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,43,1042,329.64765683317324,411,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,44,1043,43.50345092992609,53,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,45,1044,48.46761667796032,63,1,0,1,0,stay_best,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,46,1045,454.9870792887561,548,1,0,1,0,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,47,1046,179.72395881121557,222,1,0,1,0,overtake_blocked,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,48,1047,501.21814306672917,600,0,0,0,1,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,49,1048,501.63422865651205,600,0,0,0,1,overtake_easy,actor,,,,,,
uncertainty_penalty_lambda_0_01,12345,50,1049,34.987542183142175,44,1,0,1,0,overtake_blocked,actor,,,,,,
